patient_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
194,8.449658,6.145273,5.6979494,5.6084943,5.0507994,5.4094768,3.6654208,4.830286,4.897406,4.3981395,4.776164,5.5899844,3.9984555,6.682391,5.196238,5.9393935
575,10.733989,7.0641103,3.5207498,3.4111385,5.063408,5.702815,4.200459,3.9984632,5.0150604,3.305604,5.0600452,5.997237,5.5655665,6.566713,2.8273962,4.865179
631,10.322028,6.1459055,4.1511116,4.065218,5.020551,5.651024,3.550396,4.5483174,5.5980754,3.3761709,4.6274977,5.0397243,5.1318007,5.8023963,3.8497014,5.157794
170,10.64872,6.821151,3.722927,3.9185708,5.234682,5.7348785,3.4099517,4.3905606,5.7489634,3.1589012,4.7855144,5.276639,5.6128793,5.941721,3.2701,5.239549
551,8.59776,6.1929936,5.54332,5.4453607,4.969962,5.683599,4.296467,4.4610205,4.274575,4.4163857,4.7537565,6.1686926,3.89046,7.06465,5.1703258,5.7123213
547,8.912924,5.9472947,5.447859,5.3506436,4.8727345,5.558559,4.316454,4.3261275,4.2940245,4.3442,4.930926,6.180883,4.1044183,6.909944,4.868177,5.6741915
636,10.236705,5.7342224,4.287635,3.942954,4.864299,5.293023,4.0753875,4.1553392,4.7396555,3.9189467,4.9546366,5.4908843,5.141712,6.290166,3.5872474,5.1291714
596,10.711139,6.148452,3.6871002,3.727111,4.882884,5.7731514,3.9993446,4.022897,5.165344,3.4936724,4.7463923,5.63418,5.542332,5.925466,3.2092495,4.8382597
755,8.752062,6.1775913,5.4784317,5.3901205,4.9172907,5.6808214,4.318009,4.4619913,4.269303,4.4093766,4.774338,6.227034,3.9429827,7.0383196,5.065577,5.6856594
150,6.8706255,5.7781854,6.478733,5.32353,4.3521085,5.310466,3.9927611,4.5096045,4.1600833,4.7786274,4.7683835,6.033767,4.304518,7.004761,5.720861,5.4248095
137,10.542243,6.7208343,3.8343532,4.0530696,5.3241773,5.6693635,3.1370375,4.4643865,5.967138,3.2034957,4.67925,5.105505,5.6960583,5.769507,3.2394264,5.3482285
685,10.670914,7.159143,3.4517071,3.48815,5.1080213,5.817142,4.2269773,3.8858294,5.077123,3.221889,5.1445794,6.145247,5.7114296,6.5024076,2.7606592,4.865527
202,10.333293,6.8950305,4.020761,4.4048905,5.462165,5.5993657,2.8192513,4.50455,6.104988,3.2164178,4.755199,4.983075,5.7284584,5.754347,3.4264996,5.678712
143,10.307883,5.8637342,4.1459208,3.6840339,4.8283963,5.428172,4.0371375,4.163573,4.9944215,3.6195235,4.796265,5.430356,5.0778217,6.1627,3.5116298,4.903387
421,9.277316,7.0575843,4.353565,4.0534606,5.3113666,5.814061,4.3764,3.775825,4.656761,3.2833045,5.3704925,6.3214192,5.280687,6.9959345,3.9966507,5.190232
270,10.39928,6.1723247,4.0846534,4.22473,5.1669025,5.593138,3.270441,4.4972057,5.7868953,3.4109588,4.5924864,4.9701514,5.520147,5.6608295,3.5506897,5.3314853
699,9.115017,7.2711916,4.5552397,4.6305842,5.528164,5.729067,3.6479816,4.0458508,5.1938643,3.4145043,5.2118483,6.0034966,5.36481,6.7028646,4.018394,5.5643477
713,9.085739,6.7633357,4.770854,4.5374126,5.0937285,5.717182,4.210061,3.9085107,4.592253,3.7112641,5.122688,6.2745695,4.9933834,6.849481,4.204061,5.2592154
720,8.778851,6.183281,5.5045347,5.4456587,4.839118,5.664596,4.338509,4.437233,4.1883783,4.452441,4.874887,6.421307,4.0767813,7.0967593,5.0083504,5.751804
209,6.955683,5.595529,6.5190997,5.271516,4.2425785,5.6082172,4.501573,4.120235,3.4620512,4.7425823,4.5374837,6.3993726,4.3910775,7.311467,5.665772,5.119449
487,8.833147,6.3445463,5.393059,5.3677216,4.871124,5.6380987,4.2009,4.434173,4.292043,4.3857856,4.981885,6.484042,4.386416,7.1048656,4.83892,5.787014
7,9.818052,6.2184315,4.452659,4.0434566,4.984536,5.41636,3.947707,4.101707,4.9363685,3.700591,4.906932,5.599559,5.050272,6.349317,3.7008958,5.085841
132,10.720776,6.7610044,3.6267018,3.3401957,4.962787,5.704448,4.279736,4.097571,4.9616723,3.2865763,4.9827847,5.8498597,5.325363,6.5221395,3.127019,4.7771907
546,10.732375,6.181497,3.6821682,3.3869321,4.770912,5.8250604,4.5695558,4.188413,4.8020124,3.235414,4.9497657,5.689778,5.1160126,6.3813114,3.7125268,4.6331086
703,9.556069,7.3733983,4.242676,4.4074,5.364758,5.746485,4.0582275,3.895671,4.7352314,3.60188,5.326729,6.374061,5.4766903,6.9467616,3.6540325,5.365338
