patient_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
48,6.473365,3.4051542,3.8845997,6.5525217,5.428756,4.713786,5.83883,7.7896633,5.1487885,6.304035,5.384692,4.531864,4.826205,4.3089232,4.540479,6.873034
120,6.596438,3.3293488,3.5038056,5.7280974,5.079242,4.4083104,5.267818,8.080719,5.0859866,6.2146573,5.288114,4.2078595,5.2346992,4.818362,3.502009,6.332417
30,6.1193137,3.3494804,4.2536144,6.31663,5.3263164,4.748017,5.8611665,7.864918,5.085238,6.177101,5.1606665,4.539375,4.894807,4.2086105,4.8324027,6.9239783
269,7.504906,3.5124876,3.330505,5.287961,5.4445076,5.019717,4.175705,9.190278,5.7737594,6.543578,4.781081,4.498994,4.621762,4.442704,4.1574883,6.2181435
415,6.595594,3.2914996,3.744492,5.9706864,5.0563073,4.2994084,5.2933803,8.195136,4.944565,5.9427314,5.2228103,4.1355925,4.772879,4.323744,4.3909297,6.4423313
718,6.6350904,3.7788107,4.0569553,4.58067,4.914262,5.6081276,3.2692862,9.898563,5.696552,6.868238,4.7072973,4.5710764,5.3316426,3.4870644,5.192387,5.8657146
102,7.0847774,3.3766544,2.7965567,4.8088675,5.323805,4.7320986,3.318517,9.420781,6.061506,6.502388,4.549196,4.3431807,4.592333,4.1205044,4.277008,5.7627873
160,7.2922187,4.404426,3.5902357,5.661,5.1598783,5.8838286,4.2569637,9.544332,5.935177,7.2359796,5.4795165,5.324675,5.3022914,3.83816,4.60884,6.2451143
745,6.9987407,3.616466,3.4860435,5.452543,4.9416275,4.7202573,4.866922,8.506175,4.996836,6.219303,5.205891,4.2287583,4.979887,4.4731717,3.7552507,6.151928
226,6.673788,3.7421265,4.240617,4.598445,4.812429,5.7175145,3.0941496,10.017111,5.635241,6.9985623,4.7608733,4.561953,5.4386363,3.4181225,5.224804,5.8747115
185,7.456016,4.06289,3.5330544,5.518821,5.2840886,5.5268736,4.5881767,9.0700245,5.5634794,6.8390627,5.094412,4.828157,4.707626,4.1012654,4.243954,6.163727
759,7.183272,3.2411919,2.9537804,5.327776,5.436292,4.4997034,3.8745928,9.171381,5.9544854,6.397774,4.86511,4.3299994,4.6229954,4.5274563,4.1127424,6.0514402
531,7.1147976,3.4159517,2.4540493,5.515242,5.4546847,4.4581532,3.7392654,9.220722,6.370386,6.6145115,4.9937477,4.628199,4.6027684,4.2898784,4.182908,5.905807
604,7.4479303,3.4893498,3.228725,5.316614,5.4848566,4.959431,4.103454,9.203252,5.8908362,6.566789,4.777659,4.5400124,4.5828533,4.413173,4.203911,6.191079
577,7.8018994,3.7375665,3.1452699,5.574784,5.4534264,5.1551747,4.2220592,9.230421,6.0308337,6.748534,4.930514,4.7381787,4.637043,4.3182173,4.066944,6.2703066
323,6.946175,4.172742,3.9101846,5.259281,4.9565015,5.792867,3.9898756,9.592584,5.6774344,7.073015,5.286513,5.010777,5.4716454,3.787806,4.747794,6.159845
594,5.9818544,3.4256635,4.2754154,5.698354,4.782628,4.7853127,5.2446322,8.168914,4.990118,6.1478004,5.223596,4.2830725,5.469672,4.2099743,4.605284,6.681391
215,5.9573946,3.381909,4.262697,5.975608,4.929748,4.699159,5.507883,7.926773,5.033808,6.119894,5.201061,4.3600044,5.318552,4.17465,4.7472706,6.762589
719,6.985555,3.8034747,4.2896476,4.857537,4.730273,5.7940187,2.9234848,10.306337,5.570341,7.1807613,5.0445476,4.712915,5.555528,3.603702,5.0889964,6.054294
620,6.481567,3.4278839,3.9271967,6.335443,5.167847,4.603898,5.6326046,7.956359,4.931505,6.1111717,5.3903418,4.3658886,4.8312182,4.195689,4.576009,6.695203
732,6.815197,3.5086212,3.4911442,5.3305655,4.739731,4.4244027,5.039422,8.239322,4.7030497,6.021151,5.31311,4.005631,5.2159147,4.729502,3.3372066,6.031421
197,6.660895,3.4147735,4.149879,4.501882,5.2808228,5.29937,4.1169105,9.180435,5.205015,6.3717566,4.446514,4.216874,4.844876,4.257691,4.6574707,6.1381044
374,7.0393066,4.1307983,3.6887338,5.4456053,5.022084,5.575204,4.2992234,9.306785,5.7184663,7.0012918,5.377162,4.9523826,5.412525,4.056113,4.3308167,6.196745
258,7.5777493,4.2517495,3.2225513,5.7134376,5.3065186,5.605355,4.356395,9.336668,6.060368,7.1972837,5.3815026,5.1703186,4.987776,4.1454015,4.1488986,6.1124697
301,7.3001504,3.3123353,2.6073725,5.3603826,5.4444203,4.488221,3.6595953,9.3091,6.182104,6.493026,4.891189,4.4471564,4.5891314,4.4288974,4.0582185,5.9045367
638,7.0124984,4.2199273,3.815826,5.3914094,5.0318604,5.771723,4.178014,9.477033,5.6970563,7.046436,5.3197713,5.0628,5.3670893,3.8267174,4.6811304,6.202207
46,7.5300307,3.9659238,3.345937,5.657745,5.4757767,5.419834,4.5792093,8.913761,5.8241706,6.8024926,4.9187036,4.9340825,4.4708376,4.052692,4.283637,6.2779946
405,6.792113,3.4703743,3.6475163,5.3108435,4.868998,4.5528092,5.045831,8.321242,4.650104,5.9479117,5.169556,4.0045156,4.9945436,4.553853,3.741622,6.1678815
200,6.551417,3.3466346,3.881773,6.3287454,5.4314575,4.682699,5.874319,7.962735,5.1324058,6.2311573,5.1661835,4.48405,4.7306137,4.4813013,4.3758783,6.8269906
717,6.7791996,3.35747,3.6243367,5.443482,4.867572,4.3753843,4.95217,8.388598,4.7611,5.921034,5.1691833,3.9413536,4.921449,4.518304,3.8966491,6.1997547
290,6.868505,4.1078224,3.867527,5.2612486,4.920462,5.6319456,4.1435494,9.403742,5.5834103,6.9278045,5.2916737,4.890012,5.454998,3.883379,4.609494,6.1685405
4,7.2083206,4.2026443,3.6464744,5.482659,5.046983,5.664824,4.305751,9.332631,5.75367,7.115373,5.4099383,5.0034757,5.3502283,4.102065,4.198275,6.1512547
376,6.4536552,3.5150466,3.792253,4.993882,4.366179,4.550549,4.6835074,8.512703,4.616558,6.068548,5.499943,3.8928776,5.748921,4.6143622,3.4913301,6.0926657
467,6.2840443,3.2999692,4.1520777,6.286954,5.4376993,4.786244,5.7791286,7.957187,5.2083955,6.227113,5.076307,4.5337796,4.789052,4.2707524,4.7960367,6.9541354
220,7.720686,4.1291175,3.0851667,5.812761,5.4616504,5.482132,4.325852,9.352417,6.1747494,7.0310063,5.209499,5.185206,4.729372,4.028337,4.393051,6.304435
460,6.7790728,3.7518961,3.8504007,4.639037,4.9406257,5.533585,3.165567,9.938029,5.812329,6.902073,4.706839,4.5645113,5.220067,3.5207844,5.0386033,5.82625
292,6.713981,3.4777284,3.6360857,5.1063685,4.5755935,4.4626923,4.8504853,8.383702,4.5796347,5.987244,5.3479023,3.8629475,5.359549,4.7085557,3.3488762,6.06406
9,7.255017,3.365487,2.7007263,5.359019,5.4782495,4.587992,3.6969676,9.319251,6.171848,6.5565605,4.911925,4.515565,4.5957956,4.4207063,4.1396637,5.9448414
167,6.7481833,3.47043,3.4670942,5.308612,4.680176,4.435161,4.651707,8.514676,5.053828,6.184024,5.321305,4.0655785,5.3881702,4.637372,3.5455952,6.0516243
432,6.70371,3.3358338,3.5599537,5.502537,4.8754463,4.321772,5.0724354,8.23285,4.825051,6.0103526,5.262484,3.9872882,5.1387672,4.7236743,3.5793083,6.195432
464,6.945743,3.663619,3.2559376,5.4893827,4.948147,4.6440864,4.987276,8.2420225,5.2592716,6.438352,5.350997,4.4481406,5.430252,4.8656096,3.1321633,5.9511156
542,6.6966715,3.3174949,3.6032438,5.6249604,4.942978,4.3539467,4.9480796,8.3871355,4.9852276,5.992784,5.1961904,4.075322,4.951849,4.4979506,4.0248637,6.260914
525,7.8516107,4.307465,3.228221,5.9909477,5.4585137,5.6601825,4.6693225,9.199485,6.005183,7.105512,5.3473196,5.2831783,4.6995926,4.0698805,4.278661,6.365009
274,7.8442135,3.7784932,3.1850264,5.6796503,5.5014896,5.2171707,4.311739,9.230858,6.032747,6.7802157,4.97185,4.815364,4.614231,4.3133903,4.148117,6.3499055
524,7.1778555,3.4111507,2.428606,5.3514414,5.4713726,4.4735823,3.4987347,9.312071,6.616366,6.689289,4.786726,4.6425123,4.5073905,4.1405697,4.2696967,5.8778777
455,6.0889807,3.4146101,4.277548,5.6131916,5.0516944,5.0094295,5.0517936,8.400973,5.320094,6.3052707,4.935076,4.4769416,5.2428,4.1098356,4.885208,6.724186
751,6.2304964,3.5575178,3.9875984,5.2721562,4.470944,4.7723193,4.753067,8.525236,5.017808,6.3271523,5.475554,4.141962,5.951516,4.5666523,3.7306008,6.3194814
93,6.334189,3.2567952,4.1108317,6.3394947,5.263147,4.3885975,6.029952,7.871779,4.9466715,5.965847,5.0634117,4.36967,4.65451,4.37952,4.621888,6.8021536
713,7.244854,3.8973475,3.4415596,5.7713537,5.206305,5.159634,4.8115263,8.737384,5.571904,6.690544,5.260578,4.7776527,4.949135,4.295257,4.026789,6.274618
366,7.740605,3.8446803,3.068195,5.776688,5.46957,5.2155495,4.318872,9.137848,6.1259155,6.8615775,5.0293155,4.9157777,4.624947,4.1876907,4.121967,6.2917705
71,6.4428515,3.5661638,3.996451,4.837411,4.225485,4.6819997,4.41597,8.715831,4.562209,5.9984727,5.3201566,3.799292,5.7365355,4.4066696,3.7894442,6.072274
27,6.60612,3.4457748,4.3568797,4.6284437,5.2776484,5.415403,4.2458897,9.213832,5.1819196,6.3957477,4.5186996,4.276372,4.9514146,4.211231,4.804641,6.2869864
509,7.572261,3.7435243,3.2576983,5.5815597,5.2379723,4.9688506,4.6178513,8.891446,5.447304,6.4817686,5.086082,4.499239,4.640681,4.388634,3.8994663,6.1687274
686,6.714523,3.6597629,3.9717453,5.6884027,5.2324204,5.1858215,4.9874196,8.619131,5.3791714,6.4960027,5.023586,4.636134,4.922122,4.140324,4.5993905,6.539554
241,6.7299576,3.780397,3.9283369,4.703452,4.967288,5.525477,3.5049372,9.697038,5.6733074,6.8475227,4.8101535,4.5806527,5.3001246,3.7489865,4.8528233,5.964284
186,6.8711004,3.7804985,4.0655046,4.6860394,4.9252076,5.693985,3.2005255,10.010611,5.69257,7.011217,4.8957543,4.634556,5.4372387,3.7341502,4.9472523,6.0043406
425,6.92156,3.7081652,3.1918805,4.688026,5.2424517,5.2018514,3.5024905,9.363463,5.9990053,6.7216635,4.4320946,4.522563,4.6056952,3.6952646,4.679039,5.791153
334,6.819069,3.452513,3.565927,5.045502,4.7561374,4.504685,4.881495,8.319791,4.6291876,6.0183516,5.168137,3.8959336,5.172621,4.8026733,3.204592,6.0213037
633,6.428541,3.546009,4.11869,4.768366,4.3313255,4.8467355,4.3414464,8.827618,4.6795983,6.0825696,5.1922326,3.8777013,5.67134,4.349349,4.007778,6.1456275
689,6.336217,3.3932104,3.9815228,6.5298514,5.4240947,4.733452,5.876459,7.766291,5.2216983,6.3159943,5.325236,4.5903416,4.903611,4.2970133,4.6209064,6.9108815
