patient_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
177,5.812454,4.621737,2.2872834,4.746777,4.7853193,5.02118,4.7184186,5.1321607,4.9467797,6.498954,5.0401726,6.075307,4.4087486,5.2009807,5.5402584,4.7071104
656,8.919882,4.7478843,2.1067865,4.9623103,4.9544654,5.4279933,4.2982044,6.422776,4.6803617,6.930231,5.0753884,5.8274226,4.542881,5.840602,5.750941,5.313643
404,5.224417,4.4056783,1.9850659,4.9830146,4.911394,5.0822935,4.7217546,4.982887,5.6657906,6.844261,4.536028,6.274901,4.8467884,5.0283027,5.1107116,4.91141
426,5.3337064,4.648568,2.2229888,4.912734,5.4051785,5.223344,4.9956245,4.6754456,4.3479166,6.1826873,5.2812357,6.785961,4.2288566,5.2097125,4.618759,4.586316
501,5.8576717,4.6713,2.4864478,4.8304706,5.236284,5.1746893,4.8819585,4.763841,4.236313,6.124498,5.5819116,6.5074024,3.9672894,5.414323,5.041045,4.4849257
660,8.638948,4.5402083,1.9423637,5.7415714,5.6991606,5.578182,4.215051,5.8562846,4.5502677,7.0403614,5.1511574,5.9291606,4.7685604,6.409511,5.246898,5.464275
687,9.567787,5.0246854,2.2853534,5.4045587,5.064851,5.0962405,4.0168633,6.5988646,4.4939694,7.0205483,4.940243,5.794727,4.562859,6.0235577,5.5763087,5.626598
524,10.080565,4.643123,1.8912692,4.89207,4.9484754,5.8980203,3.9248495,7.274582,5.100804,7.220233,4.6941895,5.8604393,5.0991254,6.247475,5.959407,5.9489346
736,5.6786613,4.674235,2.2023854,4.7417336,4.849943,5.1656866,4.867105,5.1636953,5.084243,6.5461755,5.14459,6.1347914,4.4797792,5.3607426,5.2796326,4.678636
5,4.199755,5.4133534,1.9849715,4.3102818,4.907971,4.8349557,5.6556196,5.2276587,4.563529,5.531123,5.699147,6.6903706,4.480929,4.996972,4.5218844,4.107433
252,3.0584848,5.5685916,1.9460689,4.05286,4.18084,4.492663,5.88784,5.4580016,5.387921,5.657544,5.614928,6.2746778,4.635057,4.568733,4.691796,4.1167583
365,8.559767,4.7598357,1.9646256,5.637908,5.348967,5.6960063,4.279312,6.027095,4.607264,7.0248218,5.2742705,5.83485,5.0004025,6.3222723,5.3474584,5.279308
549,5.189692,4.537209,2.3122065,4.8202276,4.7380223,5.0330453,4.8753023,4.876331,5.447393,6.616394,4.967578,6.073745,4.5741744,5.1474795,5.3678255,4.550192
255,9.631397,5.0692086,2.3536043,5.403895,5.039077,5.025539,3.9942553,6.59955,4.482148,6.9788356,4.9518485,5.7758307,4.5105696,5.9906588,5.5875096,5.6466336
308,10.023604,4.6792865,1.8833038,5.004237,4.977418,5.641321,3.901876,7.1447725,5.1123524,7.2472672,4.5935254,5.7438602,4.971332,6.336274,5.8915825,5.9869876
496,8.754512,4.547349,1.9454255,5.964235,5.907523,5.874542,4.310764,5.8349786,4.2013783,6.743236,5.796047,5.84523,4.8762674,6.6199665,5.1027555,5.2324843
661,5.5829062,4.562845,2.306233,4.961832,5.045264,5.057432,4.80264,4.860212,4.965005,6.443623,5.0384026,6.2623916,4.4392905,5.196186,5.2041078,4.683613
664,3.1704032,5.5838337,1.9776764,3.9761627,4.2528663,4.597535,5.9171,5.5051603,5.3824143,5.7296305,5.65662,6.2793612,4.5487466,4.4877715,4.629301,4.2308617
294,9.705923,5.1406956,2.4224627,5.405326,4.9874845,4.971668,3.9679153,6.647469,4.500462,6.943929,4.951603,5.758478,4.52576,5.9497256,5.61359,5.676948
716,5.3120475,4.4834957,2.2796535,4.7912035,4.8353477,4.973242,4.7588468,4.879519,5.2312655,6.58038,4.757674,6.284477,4.457408,4.8466125,5.2429276,4.7309885
